market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
NLD,01205,Van Leussen Ommen B.V.,NLD, 0027405,0855,202502,244.0,273.343881156,273.343881156,0.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1362576,0596,202502,11.819802457,13.241273271,13.174343633,1.0
NLD,06600,Gerritse Oss,NLD, 1085270,0184,202502,256.500120453,287.347288695,285.666491167,50.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1225337,0488,202502,9.400144543,10.530622922,10.48528349,2.0
NLD,06600,Gerritse Oss,NLD, 1110470,0487,202502,16.139725367,18.080717921,20.254851654,1.0
NLD,10300,Gerritse Culemborg,NLD, 1064929,0063,202502,13.379908456,14.989000438,14.9220708,2.0
NLD,10300,Gerritse Culemborg,NLD, 2600772,0068,202502,206.92074199,231.805404538,230.63953342,4.0
NLD,10300,Gerritse Culemborg,NLD, 2636989,0570,202502,224.640809444,251.656519342,250.412923483,3.0
NLD,06600,Gerritse Oss,NLD, 2653372,0505,202502,59.491206938,66.645727046,66.308919834,3.0
NLD,06600,Gerritse Oss,NLD, 2648544,0108,202502,795.120211997,890.742806284,886.284428768,2.0
NLD,10300,Gerritse Culemborg,NLD, 2694412,0161,202502,79.400626355,88.949489238,88.500412956,2.0
NLD,10300,Gerritse Culemborg,NLD, 2635250,0464,202502,55.879547097,62.599722462,62.286664477,1.0
NLD,06600,Gerritse Oss,NLD, 2694285,0053,202502,70.869669959,79.392584602,79.000722365,1.0
NLD,06600,Gerritse Oss,NLD, 2597957,0465,202502,46.530474584,52.126313586,58.399347907,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2707423,0296,202502,698.839797639,782.883535218,778.973548932,1.0
NLD,10300,Gerritse Culemborg,NLD, 2548754,0465,202502,52.980004818,59.351475986,59.060008207,1.0
NLD,06600,Gerritse Oss,NLD, 2612959,0451,202502,123.109612142,137.914996682,137.220871563,1.0
NLD,06600,Gerritse Oss,NLD, 2690193,0466,202502,64.120452903,71.8316945,71.472217572,1.0
NLD,10300,Gerritse Culemborg,NLD, 2601101,0161,202502,47.250301132,52.932707776,52.663909713,1.0
NLD,10300,Gerritse Culemborg,NLD, 2673146,0464,202502,76.829679595,86.069355773,85.644028717,1.0
NLD,10300,Gerritse Culemborg,NLD, 2641074,0069,202502,59.819802457,67.013840056,66.678112354,1.0
NLD,06600,Gerritse Oss,NLD, 2564202,0553,202502,145.420380631,162.908898529,162.090629725,1.0
NLD,10300,Gerritse Culemborg,NLD, 2534263,0175,202502,968.6099735,1085.096760178,1079.674379969,1.0
NLD,06600,Gerritse Oss,NLD, 2589928,0517,202502,7.70994941,8.637161866,8.592901943,1.0
NLD,06600,Gerritse Oss,NLD, 2614504,0044,202502,427.490243315,478.900992886,476.503400522,1.0
NLD,06600,Gerritse Oss,NLD, 2541007,0455,202502,22.649963864,25.37388947,25.250825296,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2796823,0322,202512,174.359949851,195.328792744,194.342733757,4.0
NLD,10300,Gerritse Culemborg,NLD, 2633427,0056,202504,174.00036972,194.925968856,193.984737704,12.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2590514,0517,202504,15.419169979,17.273507245,18.271688578,2.0
NLD,06600,Gerritse Oss,NLD, 2614604,0068,202504,46.349939921,51.924067518,51.666238522,1.0
NLD,06600,Gerritse Oss,NLD, 2597911,0452,202504,103.509566503,115.957814165,115.375886874,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2391870,0069,202505,469.739306282,526.231004344,523.610969694,6.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2346924,0385,202505,232.500109905,260.460993383,259.116501918,10.0
NLD,06600,Gerritse Oss,NLD, 2269039,0076,202504,-4.909880765,-5.500351906,-5.477571834,-1.0
NLD,06600,Gerritse Oss,NLD, 2246686,0452,202504,131.139661706,146.910754585,146.171437706,1.0
NLD,06600,Gerritse Oss,NLD, 2412602,0055,202504,7.819576671,8.759973103,8.715448417,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2623954,0553,202505,192.98017321,216.188317666,215.112724494,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2671975,0475,202505,447.440101991,501.250057438,498.740340037,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2688454,0460,202505,201.269617972,225.474666038,224.343914242,1.0
NLD,06600,Gerritse Oss,NLD, 2420298,0455,202502,113.279691641,126.902912169,126.276796198,2.0
NLD,06600,Gerritse Oss,NLD, 2433159,0448,202502,54.140207179,60.651206381,60.359738601,2.0
NLD,06600,Gerritse Oss,NLD, 2373080,0452,202502,19.460370995,21.800710395,21.688441325,1.0
NLD,06600,Gerritse Oss,NLD, 2510219,0452,202502,35.860274633,40.172896096,39.971027671,1.0
NLD,06600,Gerritse Oss,NLD, 2451192,0457,202502,134.800289087,151.011615574,150.260276409,1.0
NLD,06600,Gerritse Oss,NLD, 2508875,0465,202502,21.190074681,23.738431374,26.594815613,1.0
NLD,06600,Gerritse Oss,NLD, 2490173,0015,202502,29.500361359,33.048128153,37.025044077,1.0
NLD,06600,Gerritse Oss,NLD, 2490547,0448,202502,113.009877138,126.600649287,125.962658703,1.0
NLD,06600,Gerritse Oss,NLD, 2406157,0488,202502,224.489520597,251.487036226,250.232645264,1.0
NLD,06600,Gerritse Oss,NLD, 2492147,0562,202502,353.500361359,396.012953951,394.02989354,1.0
NLD,10300,Gerritse Culemborg,NLD, 2504915,0385,202502,162.750180679,182.322811663,181.381478686,7.0
NLD,10300,Gerritse Culemborg,NLD, 2466309,0054,202502,10.720308359,12.009552025,11.964212593,2.0
NLD,10300,Gerritse Culemborg,NLD, 2504179,0097,202502,28.840279451,32.308663601,36.195980171,1.0
NLD,10300,Gerritse Culemborg,NLD, 2502045,0016,202502,16.6099735,18.607518945,18.51791959,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2495322,0385,202502,465.000240906,520.922010606,518.234029973,20.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2393796,0107,202502,40.650445676,45.539141769,45.314603628,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2412883,0451,202502,10.739580824,12.031142231,13.476606515,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2418379,0011,202502,26.430257769,29.608808355,33.171192326,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2468342,0102,202502,187.440134907,209.982024426,208.906832173,24.0
NLD,02701,Auto Oostdijk,NLD, 0027420,0870,202505,63.999648305,71.696361694,71.696361694,0.0
