text_mli,mli_description,basket,mpl_code,pct_code,cg_code
0146,FMC CLUTCH KIT,A1,PTP,P,PT
0195,NEW EXCH CLUTCH KIT,A1,PTP,P,PT
0196,NEW CLUTCH DISCS,,PTP,P,PT
0246,EOC CLUTCH KIT,G,PTP,P,PT
0447,TRANSMISSION GEARS,H,PTP,P,PT
0448,SYNCHRONISER PARTS,H,PTP,P,PT
0481,OTHER CLUTCH PARTS,A2,PTP,P,PT
0484,TORQUE CONV AUTOM TRANSM,H,PTP,P,PT
0091,FMC REMAN MAN TRANSMISS,A2,PTR,P,PT
0092,FMC REMAN AUTO TRANSMISS,G,PTR,P,PT
0093,FMC REMAN MAN TRANSAXLES,A2,PTR,P,PT
0094,FMC REMAN AUTO TRANSAXLES,G,PTR,P,PT
0588,NEW TRANSMISSION CONTROL PARTS,H,PTP,P,PT
0293,BEV BATTERIES,H,PVB,P,PV
0295,MHEV BATTERIES,H,PVB,P,PV
0302,PHEV BATTERIES,H,PVB,P,PV
0303,BEV ARRAYS AND ARRAY KITS,H,PVB,P,PV
0296,EV SPECIAL PARTS,H,PVO,P,PV
0297,EV UNIQUE PARTS,H,PVO,P,PV
0327,EV DRIVE MOTOR ASSEMBLIES,H,PVP,P,PV
0328,EV TRANSMISSION PARTS,H,PVP,P,PV
0509,OC AC COMPRESSORS,,ULA,U,UL
0528,OC BRAKE SHOES,F,ULB,U,UL
0555,OC BRAKE CALIPERS,F,ULB,U,UL
0560,OC BRAKE HOSES,F,ULB,U,UL
0635,OC HUBS AND BEARINGS,F,ULB,U,UL
0701,OC BRAKE DISCS,F,ULB,U,UL
0702,OC BRAKE PADS,F,ULB,U,UL
0537,OC STABILIZER,F,ULC,U,UL
0541,OC BALL JOINTS,,ULC,U,UL
0543,OC CONTROL ARMS,F,ULC,U,UL
0546,OC BUSHINGS,,ULC,U,UL
0706,OC STARTER,F,ULE,U,UL
0711,OC ALTERNATORS,F,ULE,U,UL
0592,OC O2 SENSOR,F,ULF,U,UL
0550,OC BULBS,F,ULL,U,UL
0548,OC TIE RODS,F,ULO,U,UL
0703,OC SHOCK ABSORBER,F,ULR,U,UL
0552,OC TPMS,F,ULS,U,UL
0751,OC BATTERIES,F,UMB,U,UM
0668,OC ADBLUE,F,UMC,U,UM
0612,OC ENGINE OIL,F,UMC,U,UM
0672,OC SERVICE CHEMICALS,F,UMC,U,UM
0673,OC SCREEN WASH,F,UMC,U,UM
0614,OC THERMOSTATS,F,UME,U,UM
0753,OC OIL FILTER,F,UMF,U,UM
0754,OC AIR FILTER,F,UMF,U,UM
0755,OC CABIN FILTER,F,UMF,U,UM
0758,OC FUEL FILTER,F,UMF,U,UM
0642,OC SPARK PLUGS,F,UMS,U,UM
0644,OC ACCESSORY DRIVE BELTS,F,UMT,U,UM
0761,OC WIPER BLADES,F,UMW,U,UM
0628,OC CLUTCH KITS,F,UPD,U,UP
0634,OC CV DRIVESHAFTS,,UPD,U,UP
0621,OC WATER PUMPS,F,UPE,U,UP
0613,OC TIMING BELTS,F,UPP,U,UP
