market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
BEL,42355,GARAGE DELHOUX PAUL BVBA,BEL, 0027416,0870,202502,64.0,71.696755713,71.696755713,0.0
BEL,28659,SA BORCY PERE ET FILS,BEL, 0027416,0870,202502,64.0,71.696755713,71.696755713,0.0
BEL,46157,GARAGE ANDRE M SPRL,BEL, 0027416,0870,202502,64.0,71.696755713,71.696755713,0.0
BEL,42058,GARAGE CLAESKENS N.V.,BEL, 0027416,0870,202502,64.0,71.696755713,71.696755713,0.0
BEL,28670,GARAGE DEBATY SA,BEL, 0027416,0870,202502,64.0,71.696755713,71.696755713,0.0
BEL,28654,GARAGE DARAND,BEL, 0027416,0870,202502,64.0,71.696755713,71.696755713,0.0
BEL,22652,GARAGE SCHMIT & FILS s. .r.l.,BEL, 0027210,0539,202502,996.950132498,1116.845157936,1116.845157936,0.0
BEL,27400,ETS SPIRLET SA,BEL, 0027204,0763,202502,271.169356781,303.780673907,303.780673907,0.0
BEL,33552,GARAGE MARC VANSTEENLAND BV,BEL, 0027210,0539,202502,377.400144543,422.786968273,422.786968273,0.0
BEL,46166,GARAGE FELTES GMBH,BEL, 0027401,0855,202502,244.0,273.343881156,273.343881156,0.0
BEL,24750,AB MOBILITY BVBA,BEL, 0027401,0855,202502,244.0,273.343881156,273.343881156,0.0
BEL,28655,GARAGE COLLET CHRISTOPHE,BEL, 0027401,0855,202502,244.0,273.343881156,273.343881156,0.0
BEL,28668,IVES COPPIN,BEL, 0027401,0855,202502,244.0,273.343881156,273.343881156,0.0
BEL,14485,GAR. B. VAN HOYE N.V.,BEL, 0027401,0855,202502,244.0,273.343881156,273.343881156,0.0
BEL,46157,GARAGE ANDRE M SPRL,BEL, 0027401,0855,202502,244.0,273.343881156,273.343881156,0.0
BEL,33555,GARAGE DEN BAES BV,BEL, 0027401,0855,202502,244.0,273.343881156,273.343881156,0.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 1364046,0116,202502,12.0,13.443141696,13.443141696,10.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1377452,0435,202502,22.620091544,25.340424651,26.751344606,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1146857,0254,202502,19.019995182,21.307374191,22.484040412,3.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1381987,0022,202507,4.220042644,4.727552601,4.985523337,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1439868,0015,202507,26.770149254,29.989575794,31.647276635,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1557898,0084,202507,56.0,62.734661229,66.207711694,10.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2782591,0122,202507,119.041364606,133.357494299,140.748833612,4.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 4696160,0022,202507,21.149680171,23.693178939,24.982077173,5.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 5254490,0457,202507,29.919829424,33.518042196,35.378297837,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2826226,0880,202507,0.55010661,0.616263425,0.649704076,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2792360,0522,202507,4.55010661,5.097310656,5.377256677,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 5953023,0611,202507,230.859701493,258.62330651,257.458616409,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2809004,0570,202507,56.230277186,62.992631965,66.464726983,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2113383,0513,202507,29.119829424,32.62183275,34.425717008,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2504597,0177,202507,122.70021322,137.456362662,145.052167669,6.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2467714,0420,202507,3294.8,3691.038603875,3674.425288471,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2542869,0385,202507,363.300639659,406.991831308,429.509810227,15.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2733389,0011,202507,31.180383795,34.930193114,36.85637461,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2714993,0022,202507,7.159914712,8.020978998,8.469083721,4.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2681358,0606,202507,50.139872068,56.169783719,59.273076129,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2625768,0490,202507,741.379957356,830.53965119,876.403026278,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1778159,0022,202507,19.280170576,21.598838741,22.763528842,8.0
BEL,42058,GARAGE CLAESKENS N.V.,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,18251,GARAGE M. VAN HASSELT BV,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,28655,GARAGE COLLET CHRISTOPHE,BEL, 0027416,0870,202507,64.0,71.69675569,71.69675569,0.0
BEL,28300,GARAGE MA CAMPAGNE BVBA,BEL, 0027203,0603,202507,1127.10021322,1262.647322274,1262.647322274,0.0
